Player name,Team,Position,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
Desmond Bane,MEM,SF,76,2266,23,508,1101,1384,111,208,46,288,334,92,140,155,29
Dalano Banton,TOR,PG,64,696,22,83,202,205,53,99,38,86,124,28,26,44,10
Cat Barber,ATL,PG,3,13,27,0,4,0,1,3,1,2,3,0,0,4,0
Harrison Barnes,SAC,PF,77,2587,29,391,834,1265,118,186,82,350,432,53,341,413,14
Scottie Barnes,TOR,PF,74,2617,20,459,932,1134,136,256,195,362,557,80,158,215,55
RJ Barrett,NYK,SF,70,2417,21,487,1194,1402,151,208,66,342,408,43,290,406,16
Will Barton,DEN,SG,71,2277,31,392,896,1043,127,276,44,296,340,55,102,127,31
Paris Bass,PHO,SF,2,7,26,2,6,6,2,0,2,2,4,1,2,2,0
Charles Bassey,PHI,PF,23,168,21,30,47,69,8,7,22,40,62,5,9,12,17
Keita Bates-Diop,SAS,SF,59,956,26,136,263,335,45,41,62,169,231,27,46,61,14
Nicolas Batum,LAC,PF,59,1462,33,179,387,491,40,100,29,225,254,58,25,38,42
Kent Bazemore,LAL,SF,39,545,32,45,139,132,21,34,13,56,69,25,13,17,9
Darius Bazley,OKC,PF,69,1924,21,274,649,745,90,97,71,365,436,58,117,170,70
Bradley Beal,WAS,SG,40,1439,28,348,771,928,135,265,38,151,189,36,169,203,15
Malik Beasley,MIN,SG,79,1976,25,332,850,953,43,116,26,201,227,43,49,60,12
Jordan Bell,CHI,C,1,2,27,0,0,0,0,0,1,0,1,1,0,0,0
DeAndre' Bembry,TOT,SF,56,1026,27,124,221,284,31,66,42,121,163,49,21,35,25
DeAndre' Bembry,BRK,SF,48,949,27,121,213,278,30,60,38,114,152,47,21,35,25
DeAndre' Bembry,MIL,SF,8,77,27,3,8,6,1,6,4,7,11,2,0,0,0
Dāvis Bertāns,TOT,PF,56,807,29,99,275,311,19,31,12,105,117,17,36,40,12
Dāvis Bertāns,WAS,PF,34,501,29,60,171,194,14,16,6,55,61,11,28,30,6
Dāvis Bertāns,DAL,PF,22,306,29,39,104,117,5,15,6,50,56,6,8,10,6
Patrick Beverley,MIN,PG,58,1476,33,177,436,533,73,268,62,178,240,67,96,133,52
Saddiq Bey,DET,SF,82,2704,22,450,1136,1321,96,233,107,334,441,73,210,254,16
Khem Birch,TOR,C,55,991,29,97,200,247,29,56,122,117,239,30,53,71,26
Goga Bitadze,IND,C,50,729,22,131,252,349,46,55,79,98,177,21,64,94,42
Bismack Biyombo,PHO,C,36,506,29,86,145,210,25,23,63,104,167,12,38,71,26
Nemanja Bjelica,GSW,C,71,1142,33,160,342,433,87,159,62,232,294,41,59,81,26
Eric Bledsoe,LAC,PG,54,1361,32,197,468,534,116,225,28,154,182,69,89,117,19
Keljin Blevins,POR,SF,31,349,26,34,111,95,17,19,16,29,45,13,6,11,1
Bogdan Bogdanović,ATL,SG,63,1848,29,342,794,950,70,194,29,221,250,68,97,115,14
Bojan Bogdanović,UTA,PF,69,2131,32,422,928,1248,118,120,58,238,296,34,223,260,1
Bol Bol,DEN,PF,14,81,22,15,27,33,4,5,4,16,20,1,2,5,2
Leandro Bolmaro,MIN,SF,35,241,21,17,54,50,13,21,16,27,43,6,11,13,0
Isaac Bonga,TOR,SF,15,69,22,3,13,12,2,4,4,3,7,8,5,8,2
Devin Booker,PHO,SG,68,2345,25,662,1421,1822,162,329,45,297,342,77,315,363,26
Brandon Boston Jr.,LAC,SG,51,760,20,125,325,343,31,51,17,94,111,26,59,72,13
Chris Boucher,TOR,PF,80,1690,29,268,577,754,42,25,179,315,494,49,150,193,75
James Bouknight,CHO,SG,31,304,21,49,141,142,15,26,22,30,52,7,27,31,1
Avery Bradley,LAL,SG,62,1406,31,148,350,394,38,47,31,105,136,53,16,18,9
Tony Bradley,CHI,C,55,549,24,72,123,163,34,27,67,119,186,10,19,29,33
Ignas Brazdeikis,ORL,SF,42,536,23,81,188,210,17,37,23,49,72,10,21,32,3
Mikal Bridges,PHO,SF,82,2854,25,458,858,1162,68,185,74,273,347,96,131,157,36
Miles Bridges,CHO,PF,80,2837,23,596,1214,1613,150,300,90,469,559,74,267,333,67
Oshae Brissett,IND,SF,67,1564,23,208,506,613,54,72,108,250,358,44,114,164,29
Malcolm Brogdon,IND,PG,36,1206,29,243,543,687,77,212,33,152,185,30,143,167,14
Armoni Brooks,TOT,SG,54,844,23,98,289,288,27,62,20,83,103,28,18,21,11
Armoni Brooks,HOU,SG,41,690,23,87,251,254,23,49,12,69,81,21,16,19,8
Armoni Brooks,TOR,PG,13,154,23,11,38,34,4,13,8,14,22,7,2,2,3
Dillon Brooks,MEM,SF,32,885,26,227,526,590,50,88,29,73,102,36,90,106,8
Bruce Brown,BRK,SF,72,1774,25,256,506,647,56,148,100,245,345,77,97,128,52
Charlie Brown Jr.,TOT,SG,22,177,24,10,39,30,5,6,14,18,32,10,9,10,4
Charlie Brown Jr.,DAL,SG,3,15,24,1,5,2,0,1,0,1,1,2,0,0,1
Charlie Brown Jr.,PHI,SG,19,162,24,9,34,28,5,5,14,17,31,8,9,10,3
Chaundee Brown Jr.,TOT,SG,5,104,23,10,32,31,1,4,1,15,16,2,5,6,0
Chaundee Brown Jr.,LAL,SF,2,21,23,1,7,2,1,0,0,2,2,0,0,0,0
Chaundee Brown Jr.,ATL,SG,3,83,23,9,25,29,0,4,1,13,14,2,5,6,0
Greg Brown III,POR,SF,48,640,20,81,190,225,36,35,38,97,135,26,44,65,24
Jaylen Brown,BOS,SF,66,2220,25,576,1217,1559,178,231,53,351,404,70,241,318,18
Moses Brown,TOT,C,40,345,22,64,108,171,20,1,39,96,135,7,43,72,16
Moses Brown,DAL,C,26,169,22,27,50,81,14,1,16,45,61,3,27,43,9
Moses Brown,CLE,C,14,176,22,37,58,90,6,0,23,51,74,4,16,29,7
Sterling Brown,DAL,SG,49,628,26,59,155,160,23,34,26,123,149,14,14,15,7
Troy Brown Jr.,CHI,SF,66,1055,22,108,258,283,26,66,39,164,203,36,20,26,5
Jalen Brunson,DAL,PG,79,2524,25,506,1008,1285,124,377,43,266,309,66,179,213,3
Thomas Bryant,WAS,C,27,439,24,77,148,201,19,23,26,82,108,6,35,40,21
Shaq Buchanan,MEM,PG,2,10,25,1,4,2,2,2,1,1,2,1,0,0,0
Reggie Bullock,DAL,SF,68,1902,30,201,501,583,40,83,33,208,241,41,40,48,14
Trey Burke,DAL,PG,42,441,29,84,215,214,26,57,4,29,33,12,20,23,0
Alec Burks,NYK,SG,81,2318,30,285,728,944,91,239,47,350,397,85,217,264,26
Jared Butler,UTA,SG,42,360,21,61,151,161,33,63,5,40,45,17,11,16,8
Jimmy Butler,MIA,SF,57,1931,32,398,829,1219,121,312,102,234,336,94,396,455,27
Devontae Cacok,SAS,PF,15,121,25,21,31,46,3,6,8,34,42,8,4,7,7
Kentavious Caldwell-Pope,WAS,SG,77,2329,28,361,829,1018,97,145,41,220,261,83,137,154,26
Facundo Campazzo,DEN,PG,65,1184,30,107,296,332,67,220,23,94,117,63,60,78,23
Vlatko Čančar,DEN,PF,15,176,24,23,41,62,9,17,8,23,31,2,9,14,3
Devin Cannady,ORL,PG,5,145,25,15,44,50,5,10,1,5,6,5,5,7,3
Clint Capela,ATL,C,74,2042,27,370,604,820,44,92,279,598,877,55,80,169,93
Vernon Carey Jr.,TOT,C,7,44,20,7,13,20,3,0,8,4,12,2,6,13,1
Vernon Carey Jr.,CHO,C,4,17,20,3,6,8,1,0,3,2,5,1,2,3,0
Vernon Carey Jr.,WAS,C,3,27,20,4,7,12,2,0,5,2,7,1,4,10,1
Jevon Carter,TOT,PG,66,905,26,98,253,277,34,96,14,96,110,24,15,18,14
Jevon Carter,BRK,PG,46,552,26,58,174,165,26,46,9,58,67,14,7,10,10
Jevon Carter,MIL,PG,20,353,26,40,79,112,8,50,5,38,43,10,8,8,4
Wendell Carter Jr.,ORL,C,62,1852,22,359,684,931,117,171,139,509,648,36,143,207,43
Alex Caruso,CHI,SG,41,1147,27,102,256,304,57,165,33,115,148,71,58,73,15
Willie Cauley-Stein,TOT,C,20,183,28,16,35,34,7,10,13,27,40,6,1,2,3
Willie Cauley-Stein,DAL,C,18,177,28,16,35,34,7,9,13,25,38,6,1,2,3
Willie Cauley-Stein,PHI,C,2,6,28,0,0,0,0,1,0,2,2,0,0,0,0
Ahmad Caver,IND,PG,1,1,25,1,1,2,0,0,0,0,0,0,0,0,0
Justin Champagnie,TOR,SF,36,281,20,31,67,81,8,11,37,35,72,8,9,9,4
Zylan Cheatham,UTA,SF,1,5,26,0,3,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,GSW,PG,34,372,26,24,81,67,32,65,9,27,36,13,2,3,0
Marquese Chriss,DAL,PF,34,346,24,62,134,154,17,17,33,70,103,13,22,33,12
Josh Christopher,HOU,SG,74,1334,20,224,500,587,114,150,52,134,186,65,83,113,13
Gary Clark,NOP,PF,38,378,27,33,88,101,10,18,23,67,90,13,7,10,7
Brandon Clarke,MEM,PF,64,1246,25,288,447,666,34,86,135,207,342,39,85,130,68
Jordan Clarkson,UTA,SG,79,2141,29,466,1113,1266,129,194,67,206,273,66,144,174,16
Nic Claxton,BRK,C,47,974,22,178,264,410,38,43,91,173,264,24,54,93,51
Amir Coffey,LAC,SG,69,1567,24,211,466,619,45,124,26,171,197,38,101,117,15
John Collins,ATL,PF,54,1663,24,339,644,876,60,98,93,329,422,33,134,169,56
Zach Collins,SAS,PF,28,502,24,76,155,218,45,61,46,107,153,13,52,65,23
Darren Collison,LAL,PG,3,37,34,2,7,4,1,2,0,4,4,1,0,0,0
Mike Conley,UTA,PG,72,2058,34,344,791,986,123,385,47,170,217,96,129,162,21
Pat Connaughton,MIL,SG,65,1691,29,227,496,645,35,82,45,228,273,59,45,54,15
Tyler Cook,CHI,PF,20,200,24,23,38,67,7,3,16,37,53,4,21,32,4
Sharife Cooper,ATL,PG,13,39,20,3,14,7,5,5,0,5,5,0,0,0,0
Petr Cornelie,DEN,PF,13,38,26,5,15,14,4,3,7,7,14,1,3,4,1
DeMarcus Cousins,TOT,C,48,718,31,149,324,430,85,71,74,196,270,35,95,125,21
DeMarcus Cousins,MIL,C,17,287,31,55,118,154,16,18,24,74,98,16,31,38,8
DeMarcus Cousins,DEN,C,31,431,31,94,206,276,69,53,50,122,172,19,64,87,13
Robert Covington,TOT,PF,71,1940,31,209,498,604,75,92,59,332,391,103,58,69,91
Robert Covington,POR,PF,48,1431,31,128,336,365,58,68,41,233,274,74,30,36,63
Robert Covington,LAC,SF,23,509,31,81,162,239,17,24,18,99,117,29,28,33,28
Torrey Craig,TOT,SF,78,1596,31,200,441,516,67,91,86,224,310,46,39,52,36
Torrey Craig,IND,SF,51,1034,31,128,281,329,39,58,59,136,195,24,27,35,19
Torrey Craig,PHO,SF,27,562,31,72,160,187,28,33,27,88,115,22,12,17,17
Jae Crowder,PHO,PF,67,1886,31,217,544,632,55,124,30,324,354,95,71,90,30
Jarrett Culver,MEM,SG,37,338,22,51,135,130,20,33,13,35,48,20,16,34,5
Jarron Cumberland,POR,SG,3,12,24,1,2,2,0,1,1,2,3,0,0,0,0
Cade Cunningham,DET,PG,64,2088,20,429,1031,1114,234,356,58,296,354,78,142,168,43
Seth Curry,TOT,SG,64,2135,31,360,739,960,109,230,21,179,200,53,82,94,14
Seth Curry,PHI,SG,45,1566,31,256,528,676,84,181,17,134,151,36,64,73,11
Seth Curry,BRK,SG,19,569,31,104,211,284,25,49,4,45,49,17,18,21,3
Stephen Curry,GSW,PG,64,2211,33,535,1224,1630,206,404,34,301,335,85,275,298,23
Anthony Davis,LAL,C,40,1404,28,370,695,927,82,122,106,288,394,49,174,244,90
Ed Davis,CLE,C,31,201,32,11,16,28,5,7,14,50,64,3,6,14,9
Terence Davis,SAC,SG,30,536,24,113,267,311,33,40,11,83,94,25,36,44,11
Gabriel Deck,OKC,PF,7,56,26,8,14,18,2,5,1,5,6,1,0,0,0
Dewayne Dedmon,MIA,C,67,1065,32,164,290,422,70,47,105,281,386,24,75,100,42
Sam Dekker,TOR,PF,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0
Javin DeLaurier,MIL,C,1,3,23,0,0,0,0,0,0,1,1,1,0,0,0
DeMar DeRozan,CHI,PF,76,2743,32,774,1535,2118,181,374,56,336,392,68,520,593,24
Mamadi Diakite,OKC,PF,13,188,25,25,47,56,7,2,17,42,59,5,6,11,9
Cheick Diallo,DET,C,3,31,25,3,8,11,1,0,4,8,12,1,5,6,0
Hamidou Diallo,DET,SG,58,1269,23,261,526,636,58,73,69,208,277,71,91,140,17
Gorgui Dieng,ATL,C,44,371,32,53,112,154,20,34,32,89,121,11,19,26,13
Spencer Dinwiddie,TOT,PG,67,1980,28,306,735,919,104,346,45,234,279,44,195,252,13
Spencer Dinwiddie,WAS,PG,44,1330,28,185,492,556,73,256,36,171,207,27,116,143,7
Spencer Dinwiddie,DAL,PG,23,650,28,121,243,363,31,90,9,63,72,17,79,109,6
Donte DiVincenzo,TOT,SG,42,1006,25,118,336,380,72,118,40,130,170,48,70,83,8
Donte DiVincenzo,MIL,SG,17,341,25,39,118,122,28,29,18,42,60,11,23,27,3
Donte DiVincenzo,SAC,SG,25,665,25,79,218,258,44,89,22,88,110,37,47,56,5
Luka Dončić,DAL,PG,65,2301,22,641,1403,1847,292,568,56,537,593,75,364,489,36
Luguentz Dort,OKC,SF,51,1665,22,293,726,877,88,88,38,174,212,46,161,191,18
Ayo Dosunmu,CHI,SG,77,2110,22,278,535,679,108,256,27,187,214,60,53,78,29
Damyean Dotson,NYK,SG,2,21,27,2,4,4,0,1,0,2,2,0,0,0,0
Devon Dotson,CHI,PG,11,85,22,11,23,29,5,15,1,8,9,1,5,9,0
Sekou Doumbouya,LAL,PF,2,16,21,5,8,14,2,0,2,4,6,3,3,4,2
Jeff Dowtin,TOT,PG,9,108,24,8,26,19,5,10,8,10,18,5,2,2,1
Jeff Dowtin,GSW,PG,4,28,24,3,6,6,1,3,1,6,7,0,0,0,1
Jeff Dowtin,MIL,PG,1,3,24,0,1,0,0,0,0,0,0,0,0,0,0
Jeff Dowtin,ORL,PG,4,77,24,5,19,13,4,7,7,4,11,5,2,2,0
PJ Dozier,DEN,SG,18,340,25,36,99,97,13,29,14,49,63,11,10,13,6
Goran Dragić,TOT,PG,21,498,35,57,151,157,34,86,13,52,65,19,27,33,4
Goran Dragić,TOR,PG,5,90,35,13,34,40,1,9,2,12,14,5,10,10,1
Goran Dragić,BRK,PG,16,408,35,44,117,117,33,77,11,40,51,14,17,23,3
Andre Drummond,TOT,C,73,1437,28,247,433,580,115,131,229,451,680,78,86,164,68
Andre Drummond,PHI,C,49,902,28,128,238,298,79,97,136,297,433,56,42,82,45
Andre Drummond,BRK,C,24,535,28,119,195,282,36,34,93,154,247,22,44,82,23
Chris Duarte,IND,SG,55,1541,24,268,621,720,90,114,41,185,226,56,90,112,10
David Duke Jr.,BRK,PG,22,341,22,39,108,104,9,17,30,37,67,14,17,21,7
Kris Dunn,POR,PG,14,336,27,44,102,106,32,79,9,40,49,23,17,18,3
Kevin Durant,BRK,PF,55,2047,33,578,1115,1643,191,351,29,378,407,48,372,409,52
Jaime Echenique,WAS,C,1,3,24,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Edwards,MIN,SG,72,2466,20,549,1245,1533,190,275,62,281,343,105,220,280,46
Carsen Edwards,DET,SG,4,79,23,9,30,23,5,14,2,4,6,2,1,1,0
Kessler Edwards,BRK,SF,48,987,21,110,267,284,42,31,44,128,172,29,16,19,24
Rob Edwards,OKC,SG,2,11,25,1,4,3,1,0,0,3,3,0,0,0,0
CJ Elleby,POR,SF,58,1174,21,121,308,339,56,87,66,161,227,35,60,84,19
Wayne Ellington,LAL,SG,43,810,34,98,237,287,19,30,10,67,77,23,9,11,5
Joel Embiid,PHI,C,68,2297,27,666,1334,2079,214,284,146,650,796,77,654,803,99
James Ennis III,TOT,SF,7,56,31,11,24,29,2,3,5,7,12,2,4,5,2
James Ennis III,BRK,SF,2,14,31,2,7,5,0,0,2,3,5,1,0,0,1
James Ennis III,LAC,SF,2,28,31,7,11,20,1,0,2,3,5,1,4,4,1
James Ennis III,DEN,SF,3,14,31,2,6,4,1,3,1,1,2,0,0,1,0
Drew Eubanks,TOT,C,71,1245,24,221,371,546,81,85,130,252,382,31,99,130,40
Drew Eubanks,SAS,C,49,595,24,84,159,228,46,50,64,132,196,13,59,79,30
Drew Eubanks,POR,C,22,650,24,137,212,318,35,35,66,120,186,18,40,51,10
Tacko Fall,CLE,C,11,59,26,5,12,12,3,2,7,16,23,0,2,7,6
Derrick Favors,OKC,C,39,653,30,94,182,206,9,25,58,126,184,17,16,25,12
Bruno Fernando,TOT,C,30,152,23,36,55,88,14,7,18,37,55,1,15,24,11
Bruno Fernando,BOS,C,20,58,23,7,14,19,5,4,7,8,15,0,4,5,3
Bruno Fernando,HOU,C,10,94,23,29,41,69,9,3,11,29,40,1,11,19,8
Dorian Finney-Smith,DAL,PF,80,2644,28,326,692,880,80,150,122,253,375,88,56,83,39
Malik Fitts,TOT,PF,15,63,24,8,19,21,2,5,2,15,17,0,0,0,0
Malik Fitts,UTA,PF,7,35,24,2,9,6,2,0,0,10,10,0,0,0,0
Malik Fitts,BOS,PF,8,28,24,6,10,15,0,5,2,5,7,0,0,0,0
Malachi Flynn,TOR,PG,44,537,23,72,183,189,13,70,10,53,63,20,15,24,4
Bryn Forbes,TOT,SG,75,1286,28,231,539,663,56,75,10,83,93,25,79,87,5
Bryn Forbes,SAS,SG,40,676,28,128,296,363,33,41,4,59,63,17,44,49,3
Bryn Forbes,DEN,SG,35,610,28,103,243,300,23,34,6,24,30,8,35,38,2
Aleem Ford,ORL,SF,5,74,24,6,20,14,4,2,2,13,15,1,0,0,0
Trent Forrest,UTA,PG,60,765,23,76,155,195,48,106,23,76,99,30,38,48,6
Evan Fournier,NYK,SG,80,2358,29,402,965,1125,105,171,34,176,210,79,80,113,20
De'Aaron Fox,SAC,PG,59,2083,24,516,1092,1367,168,330,25,206,231,68,261,348,25
Melvin Frazier,OKC,SG,3,120,25,13,48,32,3,1,5,8,13,1,5,7,0
Tim Frazier,TOT,PG,12,208,31,14,45,39,15,34,5,14,19,3,5,9,1
Tim Frazier,ORL,PG,10,200,31,13,43,37,13,33,5,14,19,3,5,9,1
Tim Frazier,CLE,PG,2,8,31,1,2,2,2,1,0,0,0,0,0,0,0
Enes Freedom,BOS,C,35,411,29,51,97,128,20,8,61,99,160,5,24,28,14
Markelle Fultz,ORL,PG,18,360,23,83,175,195,40,99,4,45,49,20,25,31,5
Wenyen Gabriel,TOT,PF,26,358,24,54,110,141,16,14,39,58,97,5,25,42,11
Wenyen Gabriel,BRK,PF,1,1,24,0,0,0,0,0,0,1,1,0,0,0,0
Wenyen Gabriel,LAC,PF,6,46,24,5,13,14,3,2,5,9,14,1,2,4,2
Wenyen Gabriel,LAL,PF,19,311,24,49,97,127,13,12,34,48,82,4,23,38,9
Daniel Gafford,WAS,C,72,1444,23,285,411,677,65,68,155,252,407,30,107,153,99
Danilo Gallinari,ATL,PF,66,1672,33,259,597,771,38,101,35,273,308,28,141,156,12
Langston Galloway,TOT,SG,7,107,30,6,26,14,6,12,3,15,18,1,0,0,0
Langston Galloway,BRK,SG,4,58,30,5,13,12,5,5,1,7,8,0,0,0,0
Langston Galloway,MIL,SG,3,49,30,1,13,2,1,7,2,8,10,1,0,0,0
Darius Garland,CLE,PG,68,2430,22,542,1173,1473,248,583,39,185,224,89,215,241,7
Marcus Garrett,MIA,SG,12,128,23,5,21,13,2,7,9,14,23,5,2,5,3
Usman Garuba,HOU,PF,24,239,19,19,44,48,6,17,21,62,83,10,5,7,11
Luka Garza,DET,C,32,389,23,66,147,186,18,20,58,42,100,9,38,61,6
Rudy Gay,UTA,PF,55,1038,35,157,379,446,47,56,55,187,242,25,62,79,19
Paul George,LAC,SF,31,1077,31,268,636,754,126,176,12,201,213,67,127,148,13
Taj Gibson,NYK,C,52,946,36,86,166,229,27,32,88,141,229,22,42,52,40
Josh Giddey,OKC,SG,54,1700,19,281,670,674,171,345,98,323,421,51,56,79,20
Shai Gilgeous-Alexander,OKC,PG,56,1942,23,477,1052,1371,154,331,37,241,278,71,328,405,46
Anthony Gill,WAS,PF,44,463,29,62,109,180,18,27,33,52,85,5,42,52,11
Freddie Gillespie,ORL,PF,9,119,24,9,22,21,5,5,13,23,36,3,3,7,9
Rudy Gobert,UTA,C,66,2120,29,362,508,1027,119,72,241,727,968,45,303,439,137
Brandon Goodwin,CLE,PG,36,502,26,64,154,171,36,91,14,53,67,25,24,38,1
Jordan Goodwin,WAS,SG,2,6,23,0,3,0,0,0,0,1,1,0,0,0,0
Aaron Gordon,DEN,PF,75,2376,26,434,834,1126,133,188,125,314,439,44,171,230,44
Eric Gordon,HOU,SG,57,1669,33,268,564,765,107,154,15,98,113,28,105,135,18
Devonte' Graham,NOP,PG,76,2162,26,296,815,902,105,316,37,140,177,71,118,140,12
Jerami Grant,DET,PF,47,1500,27,298,699,904,85,111,28,163,191,44,217,259,49
Hassani Gravett,ORL,PG,8,171,25,18,38,50,9,20,1,20,21,5,3,4,1
Danny Green,PHI,SF,62,1353,34,126,320,366,45,64,32,125,157,60,11,14,37
Draymond Green,GSW,PF,46,1329,31,135,257,346,139,320,45,291,336,61,60,91,50
Jalen Green,HOU,SG,67,2138,19,406,954,1157,135,176,33,193,226,44,188,236,18
JaMychal Green,DEN,PF,67,1085,31,159,327,432,57,59,81,200,281,43,81,93,26
Javonte Green,CHI,SF,65,1519,28,176,325,468,30,60,91,185,276,67,80,96,32
Jeff Green,DEN,C,75,1849,35,277,529,772,71,96,41,190,231,28,165,198,27
Josh Green,DAL,SG,67,1039,21,130,256,319,44,79,52,109,161,45,31,45,14
Blake Griffin,BRK,PF,56,958,32,133,313,359,31,105,60,168,228,27,55,76,14
Quentin Grimes,NYK,SG,46,786,21,95,235,275,28,44,24,70,94,31,13,19,11
Kyle Guy,MIA,SG,19,186,24,26,65,74,13,17,4,13,17,7,8,12,1
Rui Hachimura,WAS,PF,42,943,23,187,381,475,33,48,25,135,160,23,46,66,9
Tyrese Haliburton,TOT,SG,77,2695,21,430,909,1181,199,628,61,250,311,134,160,190,49
Tyrese Haliburton,SAC,SG,51,1757,21,268,586,727,115,379,39,160,199,86,87,104,34
Tyrese Haliburton,IND,PG,26,938,21,162,323,454,84,249,22,90,112,48,73,86,15
Tyler Hall,NYK,SG,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0
R.J. Hampton,ORL,SG,64,1402,20,175,457,489,87,158,23,171,194,42,75,117,13
Tim Hardaway Jr.,DAL,SG,42,1245,29,209,530,598,34,92,13,143,156,38,78,103,6
James Harden,TOT,PG,65,2419,32,407,992,1432,284,667,55,445,500,82,470,536,36
James Harden,BRK,PG,44,1627,32,292,706,990,212,447,42,309,351,56,304,350,31
James Harden,PHI,SG,21,792,32,115,286,442,72,220,13,136,149,26,166,186,5
Maurice Harkless,SAC,SF,47,863,28,83,181,217,31,23,12,100,112,29,20,28,24
Jared Harper,NOP,PG,5,43,24,14,26,37,2,14,2,0,2,4,4,4,1
Montrezl Harrell,TOT,C,71,1641,28,358,555,932,72,145,149,282,431,29,212,296,43
Montrezl Harrell,WAS,C,46,1117,28,247,383,647,50,96,96,213,309,18,149,205,31
Montrezl Harrell,CHO,C,25,524,28,111,172,285,22,49,53,69,122,11,63,91,12
Gary Harris,ORL,SG,61,1730,27,240,553,679,61,108,36,86,122,59,83,95,9
Joe Harris,BRK,SF,14,423,30,56,124,158,16,14,5,51,56,7,5,6,2
Tobias Harris,PHI,PF,73,2543,29,493,1022,1257,116,252,77,419,496,47,170,202,43
Shaquille Harrison,BRK,SG,2,23,28,2,6,4,2,3,1,3,4,1,0,0,1
Josh Hart,TOT,SG,54,1791,26,287,569,807,114,224,62,326,388,61,160,211,13
Josh Hart,NOP,SG,41,1374,26,195,386,548,81,168,53,265,318,45,116,154,11
Josh Hart,POR,SF,13,417,26,92,183,259,33,56,9,61,70,16,44,57,2
